,metab_ids,0,hmdb
64,HMDB00267,8.587860103954021,HMDB00267
65,HMDB94649,8.34804080842156,HMDB94649
66,HMDB00162,7.745050098621642,HMDB00162
67,HMDB61714,7.718943897161653,HMDB61714
68,HMDB00191,7.581324233891818,HMDB00191
69,HMDB00148,7.509152506661655,HMDB00148
70,M.60,7.502088187338147,
71,M.1587,7.36911479901862,
72,HMDB06116,7.246976978194207,HMDB06116
73,HMDB00896,7.197469738472412,HMDB00896
74,HMDB02203,7.146287748332241,HMDB02203
75,HMDB02183,6.9773536302473245,HMDB02183
76,HMDB04400,6.863444805052908,HMDB04400
77,HMDB00043,6.437173580985231,HMDB00043
78,HMDB00700,6.2039177427980885,HMDB00700
79,M.1125,6.030477855894003,
80,HMDB00660,5.972247841305113,HMDB00660
81,HMDB00848,5.945044687853527,HMDB00848
82,HMDB02802,5.278778448952101,HMDB02802
83,M.15676,4.5666365619548985,
84,M.33937,4.547653030381158,
85,HMDB31230,3.4064096788222815,HMDB31230
86,HMDB00156,3.1934601013875445,HMDB00156
87,HMDB04194,3.0906821936598927,HMDB04194
88,HMDB00512,2.6703267775164794,HMDB00512
89,HMDB00070,2.374392000829629,HMDB00070
90,HMDB29738,1.8917407073578951,HMDB29738
91,HMDB00058,1.65716183049222,HMDB00058
92,HMDB00714,1.4785900075431098,HMDB00714
93,M.35437,0.7995818911238497,
94,M.1549,0.2248888331006572,
95,HMDB61684,0.09449000537276413,HMDB61684
96,HMDB01860,0.0,HMDB01860
97,HMDB00247,0.0,HMDB00247
98,HMDB00062,0.0,HMDB00062
99,HMDB11567,0.0,HMDB11567
100,HMDB61384,0.0,HMDB61384
101,HMDB11738,-1.4013276762381928,HMDB11738
102,HMDB28691,-1.6414807224502588,HMDB28691
103,HMDB29155,-1.7458802956529744,HMDB29155
104,HMDB29142,-1.9114022333856349,HMDB29142
105,M.37443,-2.506991087464185,
106,M.2125,-2.6512740809419717,
107,HMDB00884,-2.7292224671680243,HMDB00884
108,HMDB10316,-3.110334781474341,HMDB10316
109,HMDB03178,-3.1633176491313475,HMDB03178
110,HMDB04246,-3.226496797169048,HMDB04246
111,HMDB02917,-3.3670919138933995,HMDB02917
112,HMDB00036,-3.7567437341303087,HMDB00036
113,HMDB06409,-4.182457815825982,HMDB06409
114,HMDB04827,-4.377422396877327,HMDB04827
115,HMDB59586,-4.714078898953126,HMDB59586
116,HMDB60013,-4.911250052170967,HMDB60013
117,M.32306,-5.115856363484667,
118,HMDB13130,-5.402411402575112,HMDB13130
119,HMDB61690,-5.463268131065632,HMDB61690
120,HMDB02013,-5.580400481089556,HMDB02013
121,HMDB11503,-5.6002346319060345,HMDB11503
122,HMDB61115,-5.883888513438571,HMDB61115
123,HMDB00656,-6.119783663870647,HMDB00656
124,HMDB00688,-6.28872876887355,HMDB00688
125,HMDB03681,-6.95442161489376,HMDB03681
