	metabolite	logFC	statistic	P.Value	q	hmdb	metab_ids
281	7-methylguanine	0.14016599872162122	-0.7272662815140388	0.4707935724050448	0.6731469666349307	HMDB00897	HMDB00897
282	3-indoxyl sulfate	0.10246169144513301	-0.7184212081070996	0.47249761400068846	0.6731469666349307	HMDB00682	HMDB00682
283	4-hydroxyphenylpyruvate	-0.25166116308825537	0.7235581957465914	0.47277442598289876	0.6731469666349307	HMDB00707	HMDB00707
284	sphinganine	0.12994835242715816	-0.71825375943389	0.4763903729173995	0.6764216897224954	HMDB00269	HMDB00269
285	2-hydroxy-3-methylvalerate	0.22131092482591938	-0.7081454377099021	0.4822880842285948	0.6829092983291948	HMDB00317	HMDB00317
286	saccharin	-0.2938066095062549	0.6905644292623836	0.49265154286091284	0.6937613507685183	HMDB29723	HMDB29723
287	perfluorooctanesulfonate (PFOS)	0.12363065017949823	-0.6843039187065315	0.4971916403161234	0.6982418118100749	HMDB59586	HMDB59586
288	3-hydroxybutyrate (BHBA)	-0.12167331687176167	0.6482317637356813	0.5200074839321369	0.7282938603300229	HMDB00357	HMDB00357
289	N-acetylglutamate	-0.12159085317274873	0.6398438884703856	0.5222740963901115	0.7294806672405361	HMDB01138	HMDB01138
290	hippurate	-0.13276642196275013	0.6286185570937122	0.5295988084250075	0.7328076259105626	HMDB00714	HMDB00714
291	oleoylcarnitine (C18:1)	0.11179491501884377	-0.632198307128721	0.5303588265344927	0.7328076259105626	HMDB05065	HMDB05065
292	gamma-glutamylvaline	-0.10546244109523355	0.6279170819869127	0.5330923293855496	0.7346098051050202	HMDB11172	HMDB11172
293	stearoylcarnitine (C18)	0.12342373638846336	-0.6222367168997323	0.5370904797013158	0.7354834762269438	HMDB00848	HMDB00848
294	vanillylmandelate (VMA)	-0.12696017587424852	0.6207153732624953	0.5380190409753518	0.7354834762269438	HMDB00291	HMDB00291
295	dopamine 3-O-sulfate	0.11417310952525567	-0.6104866994148079	0.5445811638745177	0.7424793587042496	HMDB06275	HMDB06275
296	3-hydroxyisobutyrate	-0.0947585224425413	0.6033450592678332	0.5490643187449844	0.7446891045135569	HMDB00336	HMDB00336
297	1-palmitoyl-GPC (16:0)	-0.1178179461272974	0.6040133659668443	0.5490995537171947	0.7446891045135569	HMDB10382	HMDB10382
298	1,7-dimethylurate	-0.1668959540270685	0.5954121739378375	0.5540292383327581	0.7493974434290465	HMDB11103	HMDB11103
299	fumarate	0.08136614326504792	-0.5893298972753552	0.5556399928504063	0.7496035599084222	HMDB00134	HMDB00134
300	2-aminoheptanoate	-0.10994603151807672	0.5896057675734094	0.55839163994442	0.7513437249513923	HMDB94649	HMDB94649
301	pregnenolone sulfate	-0.11038969111262574	0.5696855673661767	0.5688909807035104	0.763472491074685	HMDB00774	HMDB00774
302	nicotinamide	0.10046112991475292	-0.5659034517982292	0.5742769465528438	0.7650794115425354	HMDB01406	HMDB01406
303	N-delta-acetylornithine	0.10695407739761822	-0.5612665688336717	0.5746158283015406	0.7650794115425354	HMDB03357	HMDB03357
304	2-oleoyl-GPC (18:1)	-0.10890849233949886	0.564921030096674	0.575080848841572	0.7650794115425354	HMDB61701	HMDB61701
305	3-hydroxyhippurate	-0.11018435530638075	0.5617529300174681	0.5770423914357512	0.7650794115425354	HMDB06116	HMDB06116
306	1,3,7-trimethylurate	-0.1885087892774102	0.5602183101772229	0.5775307620204353	0.7650794115425354	HMDB02123	HMDB02123
307	1,5-anhydroglucitol (1,5-AG)	0.09287217446431485	-0.5528475703011665	0.5803677913896061	0.766701284451565	HMDB02712	HMDB02712
308	pipecolate	0.0706462258320761	-0.5500412374569982	0.5822910896325021	0.766701284451565	HMDB00070	HMDB00070
309	glutarylcarnitine (C5-DC)	-0.1741942951426261	0.5519136364808382	0.5832299654096536	0.766701284451565	HMDB13130	HMDB13130
310	3-methoxytyramine sulfate	0.2138601226912744	-0.5473778319272528	0.5866394033172944	0.7681935614098319	HMDB00022	HMDB00022
311	adenosine	0.11222231830790008	-0.5465063135806356	0.5873542210779453	0.7681935614098319	HMDB00050	HMDB00050
312	3-hydroxybutyrylcarnitine (2)	0.14012622783383816	-0.5332032403919881	0.593892898668736	0.77047245927819	HMDB13127	HMDB13127
313	3-ethylphenylsulfate	-0.11162185475994357	0.5261430328727382	0.6013114823390001	0.7726561158625809	HMDB62721	HMDB62721
314	4-acetamidophenylglucuronide	-0.5221442629249204	0.5232398249195066	0.6027920281340369	0.7726561158625809	HMDB10316	HMDB10316
