	metab	Spearman_bulk	Spearman_matched	p_bulk	p_matched	q_bulk	q_matched	hmdb	metab_ids
352	trans-4-hydroxyproline	0.055743376414834095	-0.023015362979237012	0.4560695533287179	0.7691942307084961	0.7875873975288975	0.9479265570750142	HMDB00725	HMDB00725
353	scyllo-inositol	0.05733662053243232	0.11834869831531795	0.45633982045008226	0.13608978110235975	0.7875873975288975	0.5247425793856755	HMDB06088	HMDB06088
354	phenylalanylisoleucine	-0.0778974518192232	-0.038647743244829266	0.4604701394395234	0.7160705581624589	0.7914908420888194	0.9389463571270837	HMDB28998	HMDB28998
355	pivaloylcarnitine (C5)	-0.07752761558295305	-0.10694345044866102	0.462608647546604	0.3129891117533264	0.7934194118274005	0.7350649851284624	HMDB41993	HMDB41993
356	alpha-glutamylglutamate	-0.0836286412407393	-0.06891663168954079	0.4637140535709253	0.5461766876530292	0.7934194118274005	0.8497857179780234	HMDB28818	HMDB28818
357	glutamate	-0.054722619248390225	-0.017129642464011535	0.4643728099597285	0.8271349959073149	0.7934194118274005	0.9606376625356166	HMDB00148	HMDB00148
358	thymol sulfate	0.05351236651089984	-0.027385470295364384	0.47432465882306063	0.7269662229044271	0.8088085815787647	0.9435848390372475	HMDB01878	HMDB01878
359	glycylvaline	-0.05484728833973361	-0.04550491233874508	0.4761568500090386	0.567742299997999	0.8103186155223401	0.8655512698837153	HMDB28854	HMDB28854
360	tyrosylglycine	-0.054308620335514445	0.018138843678400355	0.4805057580286203	0.8199105768470567	0.8106975739166543	0.9606376625356166	HMDB29105	HMDB29105
361	myo-inositol	-0.05241129816052071	-0.03818354489847937	0.4834786860209803	0.6263111965672623	0.8106975739166543	0.8931623579872969	HMDB00211	HMDB00211
362	valyltryptophan	-0.07394793250354302	-0.003389583461529682	0.4835864802458638	0.9745616377427524	0.8106975739166543	0.994390064894175	HMDB29138	HMDB29138
363	2-aminophenol sulfate	0.0523187008438303	0.007383506539903334	0.48425282890873567	0.9250113579268475	0.8106975739166543	0.9934877319766392	HMDB61116	HMDB61116
364	N-acetylcarnosine	0.0521894277231982	0.05551134173834471	0.4853347067963403	0.47883252219631045	0.8106975739166543	0.8378167979470115	HMDB12881	HMDB12881
365	lysylleucine	-0.05365142722691414	0.006423654170324494	0.48584049045138966	0.9357463431876963	0.8106975739166543	0.994390064894175	HMDB28955	HMDB28955
366	1-linoleoyl-GPE (18:2)*	0.05211495294833195	0.11171890155401364	0.48595856968589035	0.15311295171478323	0.8106975739166543	0.5393608504849977	HMDB11507	HMDB11507
367	gamma-glutamyltyrosine	-0.05206005383196568	-0.006030319654362042	0.48641872578574563	0.9387248352799761	0.8106975739166543	0.994390064894175	HMDB11741	HMDB11741
368	2-hydroxyoctanoate	0.05201489980718256	0.12740924703124915	0.4867973749920097	0.1029298367296878	0.8106975739166543	0.47879563248173945	HMDB02264	HMDB02264
369	beta-tocopherol	-0.053244096022263335	-0.03191227364874154	0.48916285495033385	0.6887154255471917	0.811479464801329	0.9219083488996939	HMDB06335	HMDB06335
370	threonate	-0.05136597496854033	-0.05746343011668838	0.4922564815471483	0.46348176014797016	0.8150320081322223	0.8292566610446931	HMDB00943	HMDB00943
371	isobutyrylglycine	0.05078001333165334	0.04926947889894955	0.4972137411221328	0.529710222729866	0.8192379127339461	0.8490672187334626	HMDB00730	HMDB00730
372	isoleucine	-0.05074614934867613	0.030276114197177805	0.49750103560450687	0.6994702372377328	0.8192379127339461	0.9258290557442008	HMDB00172	HMDB00172
373	seryltyrosine	-0.05220802038349559	-0.01694261540960577	0.4976678909131448	0.8316046952711603	0.8192379127339461	0.9606376625356166	HMDB29051	HMDB29051
374	arginylproline	-0.07109138743955454	0.09906228439941271	0.500683790672825	0.3501847200792124	0.8226205850593823	0.7727547313862628	HMDB28717	HMDB28717
375	leucyltyrosine	-0.07068087469355894	0.011086453106153074	0.5031664657662152	0.9169318926177177	0.8251158902219927	0.9900830644818805	HMDB28941	HMDB28941
376	linoleoylcarnitine (C18:2)*	-0.04988061045934337	0.09216856239038253	0.5048737261991844	0.23902227646327248	0.8263325231864279	0.6560294038216692	HMDB06469	HMDB06469
377	N-octanoylglycine	0.05053079427410306	0.15745519839028793	0.5115997271729669	0.046759341605129186	0.8344236378329789	0.32020797131192463	HMDB00832	HMDB00832
378	2-stearoyl-GPE (18:0)*	-0.049029489399357314	0.005854926254113056	0.5121788963702989	0.9405037137527201	0.8344236378329789	0.994390064894175	HMDB11129	HMDB11129
